month;day;hour;Hothouse;Coldhouse
1;8;:0510;0.077502926;0
1;8;:0610;0.070457185;0
1;8;:0710;0.091594638;0.010817942
1;8;:0810;0.131165248;0.010817942
1;8;:0910;0.125510259;0.004752554
1;8;:1010;0.108638304;0
1;8;:1110;0.093782772;0.00058308
1;8;:1210;0.093782772;0
1;8;:1310;0.114623999;0.00058308
1;8;:1410;0.129478843;0.004752554
1;8;:1510;0.150677466;0.0324536
1;8;:1610;0.098639692;0
1;8;:1710;0.091594638;0
1;8;:1810;0.084548439;0
1;8;:1910;0.091594638;0
1;8;:2010;0.084548439;0
1;8;:2110;0.091594638;0
1;8;:2210;0.091594638;0
1;8;:2310;0.105685892;0.010817942
1;9;:0010;0.098639692;0
1;9;:0110;0.098639692;0
1;9;:0210;0.098639692;0
1;9;:0310;0.098639692;0
1;9;:0410;0.098639692;0
1;9;:0510;0.091594638;0
1;9;:0610;0.084548439;0
1;9;:0710;0.105685892;0.0324536
1;9;:0810;0.141254469;0.021635658
1;9;:0910;0.135464539;0.010817942
1;9;:1010;0.119058917;0.00058308
1;9;:1110;0.108638304;0
1;9;:1210;0.104203386;0
1;9;:1310;0.119058917;0.00058308
1;9;:1410;0.129478843;0.004752554
1;9;:1510;0.140587673;0.021635658
1;9;:1610;0.084548439;0
1;9;:1710;0.084548439;0
1;9;:1810;0.084548439;0
1;9;:1910;0.098639692;0
1;9;:2010;0.091594638;0
1;9;:2110;0.105685892;0.010817942
1;9;:2210;0.098639692;0
1;9;:2310;0.105685892;0.010817942
1;10;:0010;0.112731404;0.010817942
1;10;:0110;0.105685892;0
1;10;:0210;0.105685892;0
1;10;:0310;0.105685892;0
1;10;:0410;0.105685892;0
1;10;:0510;0.112731404;0.010817942
1;10;:0610;0.112731404;0.010817942
1;10;:0710;0.126822658;0.064906861
1;10;:0810;0.175958422;0.058841473
1;10;:0910;0.165868515;0.048024096
1;10;:1010;0.166725005;0.043271542
1;10;:1110;0.160739997;0.037206154
1;10;:1210;0.156305079;0.037206154
1;10;:1310;0.177145618;0.054089145
1;10;:1410;0.180946502;0.064906861
1;10;:1510;0.133868858;0.075724803
1;10;:1610;0.119777146;0.021635658
1;10;:1710;0.112731404;0.010817942
1;10;:1810;0.112731404;0.010817942
1;10;:1910;0.119777146;0.021635658
1;10;:2010;0.112731404;0.010817942
1;10;:2110;0.119777146;0.021635658
1;10;:2210;0.112731404;0.010817942
1;10;:2310;0.119777146;0.021635658
1;11;:0010;0.119777146;0.0324536
1;11;:0110;0.119777146;0.0324536
1;11;:0210;0.119777146;0.0324536
1;11;:0310;0.119777146;0.0324536
1;11;:0410;0.119777146;0.0324536
1;11;:0510;0.112731404;0.021635658
1;11;:0610;0.112731404;0.021635658
1;11;:0710;0.133868858;0.075724803
1;11;:0810;0.191702632;0.075724803
1;11;:0910;0.197986158;0.075724803
1;11;:1010;0.135464539;0.01557027
1;11;:1110;0.09821769;0.00116616
1;11;:1210;0.087797764;0.00116616
1;11;:1310;0.129478843;0.004752554
1;11;:1410;0.129478843;0.004752554
1;11;:1510;0.191035722;0.075724803
1;11;:1610;0.126822658;0.043271542
1;11;:1710;0.119777146;0.0324536
1;11;:1810;0.119777146;0.0324536
1;11;:1910;0.126822658;0.043271542
1;11;:2010;0.119777146;0.0324536
1;11;:2110;0.126822658;0.043271542
1;11;:2210;0.126822658;0.043271542
1;11;:2310;0.133868858;0.054089145
1;12;:0010;0.133868858;0.043271542
1;12;:0110;0.133868858;0.043271542
1;12;:0210;0.133868858;0.043271542
1;12;:0310;0.140913912;0.054089145
1;12;:0410;0.147960111;0.064906861
1;12;:0510;0.155006311;0.075724803
1;12;:0610;0.162051365;0.086542745
1;12;:0710;0.176143077;0.140632229
1;12;:0810;0.242150796;0.129814287
1;12;:0910;0.218826698;0.097360687
1;12;:1010;0.160739997;0.041958708
1;12;:1110;0.129478843;0.009504882
1;12;:1210;0.108638304;0.00058308
1;12;:1310;0.129478843;0.01557027
1;12;:1410;0.171159923;0.048024096
1;12;:1510;0.221304758;0.108178403
1;12;:1610;0.155006311;0.075724803
1;12;:1710;0.162051365;0.086542745
1;12;:1810;0.169097565;0.097360687
1;12;:1910;0.176143077;0.108178403
1;12;:2010;0.169097565;0.097360687
1;12;:2110;0.183188818;0.118996345
1;12;:2210;0.183188818;0.118996345
1;12;:2310;0.190234331;0.129814287
1;13;:0010;0.19728053;0.140632229
1;13;:0110;0.19728053;0.140632229
1;13;:0210;0.19728053;0.140632229
1;13;:0310;0.19728053;0.140632229
1;13;:0410;0.19728053;0.140632229
1;13;:0510;0.204325584;0.151449606
1;13;:0610;0.19728053;0.140632229
1;13;:0710;0.211371784;0.194721148
1;13;:0810;0.292598845;0.183903206
1;13;:0910;0.260508465;0.140632229
1;13;:1010;0.212841689;0.102113015
1;13;:1110;0.223261616;0.102113015
1;13;:1210;0.212841689;0.091295299
1;13;:1310;0.223261616;0.102113015
1;13;:1410;0.251573794;0.140632229
1;13;:1510;0.183188818;0.151449606
1;13;:1610;0.162051365;0.086542745
1;13;:1710;0.155006311;0.075724803
1;13;:1810;0.147960111;0.064906861
1;13;:1910;0.147960111;0.064906861
1;13;:2010;0.133868858;0.043271542
1;13;:2110;0.140913912;0.054089145
1;13;:2210;0.133868858;0.043271542
1;13;:2310;0.140913912;0.054089145
1;14;:0010;0.140913912;0.064906861
1;14;:0110;0.133868858;0.054089145
1;14;:0210;0.133868858;0.054089145
1;14;:0310;0.133868858;0.054089145
1;14;:0410;0.126822658;0.043271542
1;14;:0510;0.133868858;0.054089145
1;14;:0610;0.126822658;0.043271542
1;14;:0710;0.133868858;0.075724803
1;14;:0810;0.181613298;0.069659415
1;14;:0910;0.177145618;0.058841473
1;14;:1010;0.160739997;0.043271542
1;14;:1110;0.145884465;0.021635658
1;14;:1210;0.129478843;0.004752554
1;14;:1310;0.156305079;0.0324536
1;14;:1410;0.160766801;0.043271542
1;14;:1510;0.170856594;0.054089145
1;14;:1610;0.105685892;0.010817942
1;14;:1710;0.091594638;0
1;14;:1810;0.091594638;0
1;14;:1910;0.091594638;0
1;14;:2010;0.077502926;0
1;14;:2110;0.084548439;0
1;14;:2210;0.077502926;0
1;14;:2310;0.091594638;0
1;15;:0010;0.091594638;0
1;15;:0110;0.084548439;0
1;15;:0210;0.084548439;0
1;15;:0310;0.084548439;0
1;15;:0410;0.084548439;0
1;15;:0510;0.084548439;0
1;15;:0610;0.084548439;0
1;15;:0710;0.098639692;0.021635658
1;15;:0810;0.131165248;0.010817942
