month;day;hour;P [W]
1;11;:0710;21.07818182
1;11;:0810;93.15818182
1;11;:0910;124.0363636
1;11;:1010;141.8036364
1;11;:1110;224.9054545
1;11;:1210;126.8
1;11;:1310;154.7027273
1;11;:1410;85.30727273
1;11;:1510;0
1;11;:1610;0
1;11;:1710;0
1;11;:1810;0
1;11;:1910;0
1;11;:2010;0
1;11;:2110;0
1;11;:2210;0
1;11;:2310;0
1;12;:0010;0
1;12;:0110;0
1;12;:0210;0
1;12;:0310;0
1;12;:0410;0
1;12;:0510;0
1;12;:0610;0
1;12;:0710;27.43818182
1;12;:0810;174.9918182
1;12;:0910;246.0181818
1;12;:1010;323.6990909
1;12;:1110;308.6190909
1;12;:1210;183.5390909
1;12;:1310;197.8327273
1;12;:1410;115.4090909
1;12;:1510;0
1;12;:1610;0
1;12;:1710;0
1;12;:1810;0
1;12;:1910;0
1;12;:2010;0
1;12;:2110;0
1;12;:2210;0
1;12;:2310;0
1;13;:0010;0
1;13;:0110;0
1;13;:0210;0
1;13;:0310;0
1;13;:0410;0
1;13;:0510;0
1;13;:0610;0
1;13;:0710;21.50363636
1;13;:0810;163.8672727
1;13;:0910;193.1909091
1;13;:1010;207.0127273
1;13;:1110;283.2563636
1;13;:1210;198.5990909
1;13;:1310;180.1427273
1;13;:1410;139.9727273
1;13;:1510;0
1;13;:1610;0
1;13;:1710;0
1;13;:1810;0
1;13;:1910;0
1;13;:2010;0
1;13;:2110;0
1;13;:2210;0
1;13;:2310;0
1;14;:0010;0
1;14;:0110;0
1;14;:0210;0
1;14;:0310;0
1;14;:0410;0
1;14;:0510;0
1;14;:0610;0
1;14;:0710;12.14636364
1;14;:0810;122.4072727
1;14;:0910;78.78272727
1;14;:1010;145.0554545
1;14;:1110;202.54
1;14;:1210;212.2963636
1;14;:1310;154.1427273
1;14;:1410;123.3490909
1;14;:1510;0
1;14;:1610;0
1;14;:1710;0
1;14;:1810;0
1;14;:1910;0
1;14;:2010;0
1;14;:2110;0
1;14;:2210;0
1;14;:2310;0
1;15;:0010;0
1;15;:0110;0
1;15;:0210;0
1;15;:0310;0
1;15;:0410;0
1;15;:0510;0
1;15;:0610;0
1;15;:0710;30.74181818
1;15;:0810;161.7309091
1;15;:0910;312.2927273
1;15;:1010;305.9536364
1;15;:1110;319.0190909
1;15;:1210;279.6454545
1;15;:1310;223.2354545
1;15;:1410;125.1381818
1;15;:1510;0
1;15;:1610;0
1;15;:1710;0
1;15;:1810;0
1;15;:1910;0
1;15;:2010;0
1;15;:2110;0
1;15;:2210;0
1;15;:2310;0
1;16;:0010;0
1;16;:0110;0
1;16;:0210;0
1;16;:0310;0
1;16;:0410;0
1;16;:0510;0
1;16;:0610;0
1;16;:0710;15.02090909
1;16;:0810;118.0290909
1;16;:0910;163.5090909
1;16;:1010;169.1590909
