parameters;values;units
Demand;5552.40766;kWh
PV_costs;77.38028219;Euro/kWp
PV_capacity;0;kWp
PV_energy;0;kWh
ES_costs;74.17723664;Euro/kWh
ES_capacity;0;kWh
ES_out;0;kWh
Grid_costs;0.17;Euro/kWh
Grid;5552.40766;kWh
PV_sold;0;kWh
Costs;943.9093022;Euro
PV_area;0;m2
Emissions;0.759624892;tons
