parameters;values;units
Demand;5552.40766;kWh
PV_costs;77.38028219;Euro/kWp
PV_capacity;165.8984373;kWp
PV_energy;1988.512881;kWh
ES_costs;74.17723664;Euro/kWh
ES_capacity;239.9887898;kWh
ES_out;5979.496638;kWh
Grid_costs;1700;Euro/kWh
Grid;0;kWh
PV_sold;0;kWh
Costs;30638.97315;Euro
PV_area;2488.476559;m2
Emissions;0;tons
