parameters;values;units
Demand;844920;kWh
PV_costs;77.38028219;Euro/kWp
PV_capacity;3469.880313;kWp
PV_energy;783435.6708;kWh
ES_costs;74.17723664;Euro/kWh
ES_capacity;1555.949;kWh
ES_out;610382.2281;kWh
Grid_costs;1700;Euro/kWh
Grid;0;kWh
PV_sold;0;kWh
Costs;383916.3149;Euro
PV_area;52048.20469;m2
Emissions;0;tons
